# Official Netlib LP corpus decoded with lp/data/emps.c on 2026-07-19.
# model\tdecoded_mps_sha256
25fv47	07290b464eb79c0ed722e16ed29454b5802fb67daaa03b8ee7fd40aee7f9b508
80bau3b	79029616b71faf3d8690c5565695e93bc2f6dff3aaadbeb71ece21c10a9c50d0
adlittle	fec81e24fa91bc545d97239b108b43e6034f37b4bf2455a3f8c179726b44d44c
afiro	fd3562804ff19382a9cd8bcb22ec81bffd24a4143a2290783831d8c64516a24b
agg	a9628559a665e6739dd9d18b00e32236eeed7833ede3d1e2384f78c3e39b82af
agg2	bf1e15697ecfdc1f2e207b7f42509b03cd7e33580b99821950ac24a262145ae0
agg3	165982069c227d9ea8cd4256e14971145d7cb366395343991ed1343c284c0c43
bandm	244420cb770da5a27d579b09d0cf07228cd3a7f9d6392516edbb6445eff1013d
beaconfd	277ffc68fc6ab348066c708f362c5db1bc97d56c8d48d2d86094f5c537fd17d1
blend	c8bb193f8af5dcff735a3b8db62077db93625e93cfb26e2b01f83ca3039cbf7d
bnl1	ffac93daf066802070a85c2aeaa6f6e2d5421540a9a34889ddbc6aa8a8698772
bnl2	e57f068952efde4c829b24edc375db0d49fc1bde675b76db03aa706d30cb45ae
boeing1	3f67c9b14db80aa0f4cff29baccb450623eb8aa609e37dd03aeb936dc785d362
boeing2	ac6bd9c8cb95e61ab78a8a9f33b8326830ad20a6be944e074387e5805da2a3ef
bore3d	1bd24817ff568b4418181c1c40be017adf7c98e38ffbdd827a720d0609a32ca3
brandy	53b17390ddb1831ef8ec3834303e39a21ac598c2fe159698bba342ea13909ed6
capri	7200826e526a47d53fb57b2b45661675217ede75406945e2820a0a73d3b946c0
cycle	ea7686737ea072fefde9dc72974709e97064deb59b48c38032ffc8732b314053
czprob	0fe601cb47e6af3d3b037ba5d142229ca0ab2b944e56085d45a1421140f029fe
d2q06c	7e284eca79a87fe4b528a710e93a395a6e646f6df381ee131a38ace1fc1bf808
d6cube	703ac51bb32d1a9048477ae31930c66322deb64154831049a5402b6b2d742d64
degen2	19dff2bcc00c24502424e931814633e0b654ec30bfa6b29c9c81c5244198099f
degen3	7a149f601961000bc365c3431276d52d1e13e04ae459f98177d6b459d9a65475
dfl001	e813c8201abe565024293772c5a28fff6b0c27ef81e4485fbef48a899dd5d731
e226	bbcec15c6e75ebe51040315386388b83099ab578e9b84131dc0568227a9901bb
etamacro	bad29069b427ee33aa2a7110f164a7f522d01c337e326eb60e279cf0c9752c8e
fffff800	c56489fc720baa9d33b3d27450507474750e3a55f7379cfdbb7f4eb9ff70b420
finnis	401a243cc72b056bed39baeac3697fb4f95865d9b7993d215c3674daae31eea5
fit1d	b6948cd21f7fd6aca21cb38c12ea743151aa05a6eb95fa9b954dbfba6518938b
fit1p	f04f6a0b9face4919aac4f2c39671abead1ebeff56c757af99d1812312ab6765
fit2d	f58135a600285b315eccb6657fa53af8fdf03483bb38c53ef9f3229149c1251c
fit2p	8133edb636b8ea454beb58e75b0366e21c32ee95409d2bd8cc7ed6eb5efa3d89
